"Rank","Player","Position","Position Rank","ADP on April 25","ADP on August  5","ADP Change"
489,"John Michael Gyllenborg","TE","TE59",216,216,0
490,"John Ross","WR","WR154",216,216,0
491,"Johnny Wilson","WR","WR153",216,216,0
492,"Jonathan Ward","RB","RB116",216,216,0
493,"Jonnu Smith","TE","TE60",216,216,0
494,"Jordan Akins","TE","TE52",216,216,0
495,"Jordan Mims","RB","RB88",216,216,0
496,"Jordan Moore","WR","WR131",216,216,0
497,"Jordan Watkins","WR","WR158",216,216,0
498,"Jordan Whittington","WR","WR140",215.9,216,0.1
499,"Josh Cameron","WR","WR158",216,216,0
500,"Josh Cuevas","TE","TE60",216,216,0
501,"Josh Oliver","TE","TE57",216,216,0
502,"Josh Pederson","TE","TE52",216,216,0
503,"Josh Reynolds","WR","WR154",216,216,0
504,"Josh Whyle","TE","TE57",216,216,0
505,"JuJu Smith-Schuster","WR","WR157",216,216,0
506,"Julian Hill","TE","TE59",216,216,0
507,"Julius Chestnut","RB","RB90",216,216,0
508,"Justin Fields","QB","QB40",215.7,216,0.3
509,"Justin Joly","TE","TE52",215.3,216,0.7
510,"K.J. Osborn","WR","WR153",215.9,216,0.1
511,"Kaden Wetjen","WR","WR158",216,216,0
512,"Kaleb Johnson","RB","RB96",215.9,216,0.1
513,"Kalel Mullings","RB","RB116",216,216,0
514,"Kalen Ballage","RB","RB102",216,216,0
515,"Kareem Hunt","RB","RB91",216,216,0
516,"Kazmeir Allen","RB","RB93",216,216,0
517,"KeAndre Lambert-Smith","WR","WR153",215.9,216,0.1
518,"Keelan Doss","WR","WR136",216,216,0
519,"Keleki Latu","TE","TE59",216,216,0
520,"Kendall Milton","RB","RB94",216,216,0
521,"Kendre Miller","RB","RB95",216,216,0
522,"Kenny McIntosh","RB","RB87",216,216,0
523,"Kenny Pickett","QB","QB47",216,216,0
524,"Kevin Austin","WR","WR158",216,216,0
525,"Kevin Coleman Jr.","WR","WR135",215.9,216,0.1
526,"Khalil Herbert","RB","RB85",216,216,0
527,"Kirk Merritt","WR","WR142",216,216,0
528,"Konata Mumpfield","WR","WR158",216,216,0
529,"Kwamie Lassiter","WR","WR127",216,216,0
530,"Kyle Allen","QB","QB49",216,216,0
531,"Kyle Williams","WR","WR147",215.8,216,0.2
532,"Kylen Granson","TE","TE61",216,216,0
533,"LaJohntay Wester","WR","WR150",216,216,0
534,"Lan Larison","RB","RB95",216,216,0
535,"Laquon Treadwell","WR","WR154",216,216,0
536,"Le'Veon Moss","RB","RB102",216,216,0
537,"Leonard Taylor","TE","TE51",216,216,0
538,"Lewis Bond","WR","WR140",216,216,0
539,"Lil'Jordan Humphrey","WR","WR149",216,216,0
540,"Logan Woodside","QB","QB47",215.9,216,0.1
541,"Lucas Krull","TE","TE52",216,216,0
542,"Luke Farrell","TE","TE59",216,216,0
543,"Luke Musgrave","TE","TE68",215.9,216,0.1
544,"Luke Schoonmaker","TE","TE68",216,216,0
545,"Luke Stocker","TE","TE49",216,216,0
546,"Mac Jones","QB","QB39",216,216,0
547,"Malachi Corley","WR","WR155",216,216,0
548,"Malik Cunningham","WR","WR136",216,216,0
549,"Malik Heath","WR","WR156",216,216,0
550,"Malik Taylor","WR","WR145",216,216,0
551,"Marcedes Lewis","TE","TE61",216,216,0
552,"Marcus Mariota","QB","QB44",216,216,0
553,"Mark Redman","TE","TE51",216,216,0
554,"Marlin Klein","TE","TE68",216,216,0
555,"Marlon Mack","RB","RB89",216,216,0
556,"Marquez Valdes-Scantling","WR","WR157",216,216,0
557,"Mason Rudolph","QB","QB50",216,216,0
558,"Mason Tipton","WR","WR158",216,216,0
559,"Matt Breida","RB","RB95",216,216,0
560,"Maurice Alexander","WR","WR158",216,216,0
561,"Max Duggan","QB","QB51",216,216,0
562,"Max Klare","TE","TE68",215.5,216,0.5
563,"Michael Carter","RB","RB96",216,216,0
564,"Michael Pratt","QB","QB49",215.9,216,0.1
565,"Michael Strachan","WR","WR145",216,216,0
566,"Michael Trigg","TE","TE68",216,216,0
567,"Miles Kitselman","TE","TE55",216,216,0
568,"Miles Sanders","RB","RB97",216,216,0
569,"Miller Forristall","TE","TE48",216,216,0
570,"Mitch Tinsley","WR","WR158",216,216,0
571,"Mitchell Trubisky","QB","QB51",216,216,0
572,"Mo Alie-Cox","TE","TE59",215.9,216,0.1
573,"Moliki Matavao","TE","TE59",216,216,0
574,"Montrell Johnson","RB","RB90",216,216,0
575,"MyCole Pruitt","TE","TE59",216,216,0
576,"Nate Adkins","TE","TE54",216,216,0
577,"Nate Boerkircher","TE","TE59",216,216,0
578,"Nathan Carter","RB","RB88",216,216,0
579,"Neal Johnson","TE","TE52",216,216,0
580,"Nick Boyle","TE","TE51",216,216,0
581,"Nick Chubb","RB","RB102",216,216,0
582,"Nick Mullens","QB","QB46",216,216,0
583,"Nick Nash","WR","WR155",216,216,0
584,"Nick Westbrook-Ikhine","WR","WR140",216,216,0
585,"Nikko Remigio","WR","WR157",216,216,0
586,"Noah Brown","WR","WR157",216,216,0
587,"Noah Fant","TE","TE57",216,216,0
588,"Noah Gray","TE","TE52",216,216,0
589,"Noah Togiai","TE","TE58",216,216,0
590,"Noah Whittington","RB","RB104",216,216,0
591,"Olamide Zaccheaus","WR","WR147",216,216,0
592,"Payne Durham","TE","TE57",216,216,0
593,"Phil Mafah","RB","RB96",216,216,0
594,"Pierre Strong Jr.","RB","RB89",216,216,0
595,"Quinn Ewers","QB","QB49",216,216,0
596,"Raheem Blackshear","RB","RB93",216,216,0
597,"Raheim Sanders","RB","RB102",216,216,0
598,"Rakim Jarrett","WR","WR144",216,216,0
599,"Rasheen Ali","RB","RB101",216,216,0
600,"Reggie Virgil","WR","WR155",216,216,0
601,"Ricky White","WR","WR154",216,216,0
602,"Riley Leonard","QB","QB49",216,216,0
603,"Robert Lewis","WR","WR134",216,216,0
604,"Robert Tonyan","TE","TE57",216,216,0
605,"Roman Hemby","RB","RB95",216,216,0
606,"Ronald Jones","RB","RB86",216,216,0
607,"Ronnie Bell","WR","WR147",216,216,0
608,"Roschon Johnson","RB","RB101",216,216,0
609,"Russell Wilson","QB","QB47",216,216,0
610,"Salvon Ahmed","RB","RB101",216,216,0
611,"Sam Howell","QB","QB47",216,216,0
612,"Sam Roush","TE","TE57",216,216,0
613,"Scotty Miller","WR","WR147",216,216,0
614,"Scotty Washington","TE","TE52",216,216,0
615,"Seth Henigan","QB","QB40",216,216,0
616,"Seydou Traore","TE","TE67",216,216,0
617,"Sione Vaki","RB","RB87",216,216,0
618,"Skyy Moore","WR","WR138",216,216,0
619,"Spencer Rattler","QB","QB50",216,216,0
620,"Sterling Shepard","WR","WR153",216,216,0
621,"Stetson Bennett","QB","QB53",216,216,0
622,"Stone Smartt","TE","TE64",216,216,0
623,"Tai Felton","WR","WR156",216,216,0
624,"Tanner Conner","TE","TE60",216,216,0
625,"Tanner Hudson","TE","TE54",216,216,0
626,"Tanner Koziol","TE","TE57",215.9,216,0.1
627,"Tanner McKee","QB","QB44",216,216,0
628,"Taylen Green","QB","QB44",216,216,0
629,"Taylor Heinicke","QB","QB45",216,216,0
630,"Teddy Bridgewater","QB","QB50",216,216,0
631,"Terrace Marshall Jr.","WR","WR155",216,216,0
632,"Theo Riddick","RB","RB93",216,216,0
633,"Theo Wease","WR","WR158",216,216,0
634,"Tim Jones","WR","WR161",216,216,0
635,"Tim Patrick","WR","WR154",216,216,0
636,"Tommy DeVito","QB","QB49",216,216,0
637,"Tommy Mellott","WR","WR134",216,216,0
638,"Tommy Tremble","TE","TE55",216,216,0
639,"Travis Vokolek","TE","TE49",216,216,0
640,"Trayveon Williams","RB","RB92",216,216,0
641,"Tre Stewart","RB","RB88",216,216,0
642,"Trebor Pena","WR","WR141",216,216,0
643,"Trent Taylor","WR","WR158",216,216,0
644,"Trevor Etienne","RB","RB96",216,216,0
645,"Trey Benson","RB","RB87",216,216,0
646,"Trey Knox","TE","TE51",216,216,0
647,"Trey Lance","QB","QB47",216,216,0
648,"Trey Palmer","WR","WR142",216,216,0
649,"Trey Sermon","RB","RB101",216,216,0
650,"Trinidad Chambliss","QB","QB41",216,216,0
651,"Ty Chandler","RB","RB96",216,216,0
652,"Ty Simpson","QB","QB44",216,216,0
653,"Tylan Wallace","WR","WR148",216,216,0
654,"Tyler Conklin","TE","TE57",216,216,0
655,"Tyler Goodson","RB","RB100",216,216,0
656,"Tyler Higbee","TE","TE57",216,216,0
657,"Tyler Huntley","QB","QB49",216,216,0
658,"Tyler Johnson","WR","WR157",216,216,0
659,"Tyler Scott","WR","WR145",216,216,0
660,"Tyree Jackson","TE","TE51",216,216,0
661,"Tyrell Shavers","WR","WR152",216,216,0
662,"Tyrod Taylor","QB","QB47",216,216,0
663,"Tyson Bagent","QB","QB49",216,216,0
664,"Van Jefferson","WR","WR156",216,216,0
665,"Wayne Gallman","RB","RB105",216,216,0
666,"Will Howard","QB","QB49",216,216,0
667,"Will Kacmarek","TE","TE55",215.9,216,0.1
668,"Will Levis","QB","QB48",215.9,216,0.1
669,"Will Sheppard","WR","WR151",216,216,0
670,"Will Shipley","RB","RB102",216,216,0
671,"Xavier Guillory","WR","WR125",216,216,0
672,"Xavier Hutchinson","WR","WR132",216,216,0
673,"Xavier Restrepo","WR","WR153",216,216,0
674,"Xavier Smith","WR","WR153",216,216,0
675,"Xavier Weaver","WR","WR142",216,216,0
676,"Zach Davidson","TE","TE64",216,216,0
677,"Zach Ertz","TE","TE68",216,216,0
678,"Zach Wilson","QB","QB53",216,216,0
679,"Zavier Scott","RB","RB95",216,216,0
